Q1_Age,Q2_Gender,Q3_Country,Q4_Education,Q5_MonthlyIncome,Q6_HouseholdSize,Q7_EmploymentStatus,Q8_SportsCount,Q9_SportsPractised,Q10_HoursPerWeek,Q11_Competitiveness,Q12_SportsIdentity,Q13_SpendLast12Months,Q14_FreqBuyOnline,Q15_FreqBuyStore,Q16_OnlineFactorRanking,Q17_BrandsBought,Q18_MaxDeliveryWindow,Q19_BiggestFrustration,Q20_SatisfactionMultiBrand,Q21_SustainabilityImportance,Q22_CartAbandonDueSplit,Q23_WaitSinglePackage,Q24_IssueRanking,Q25_AppealSingleCart,Q26_InterestAlgoBrand,Q27_LikelihoodBundleDeals,Q28_InterestPersonalDiscount,Q29_AppealEmpathyDelivery,Q30_LikelihoodSustainScore,Q31_PrimaryDownloadDriver,Q32_DeliveryMaxAllBrands,Q33_MinDiscountSwitch,Q34_PremiumMembershipFee,Q35_InstallLikelihoodPct,Q36_RecommendNPS,Q37_EnjoyNewApps,Q38_QualityOverDiscount,Q39_ShareFitnessSocial,Q40_SustainabilityInfluence,Q41_PrimaryMotivation,Q42_FrustrationText,Q43_ChangeDeliveryText,Q44_DeviceType,Q45_CompletionTimeSec,HighIntent
32,Male,Brazil,Bachelor’s degree,7413.0,4,Full-time employee,3,"Running/Jogging,Gym/Fitness,Cycling",12.3,3,4,1722.0,Frequently,Rarely,"Sustainability,Price,Brand,Speed of delivery,Customer reviews,Style,Easy returns","Adidas,Under Armour,Local/Other,Decathlon",2–3 days,Lack of sustainability info,2,4,Yes,Maybe,"Split shipments,Slow delivery,Poor tracking updates,High shipping fees,Limited eco-friendly options",3,2,3,1,5,4,Flexible delivery,2–3 days,10,6.0,100.0,10,3,3,3,4,Overall health,Shipping costs are high.,Offer faster standard shipping.,Smartphone,163,1
20,Male,Germany,Bachelor’s degree,1905.0,5,Student,2,"Cycling,Football/Soccer",9.4,4,3,929.0,Rarely,Frequently,"Speed of delivery,Brand,Sustainability,Customer reviews,Easy returns,Style,Price","Under Armour,Lululemon",1–2 weeks,Other,2,4,No,Yes,"Slow delivery,High shipping fees,Split shipments,Poor tracking updates,Limited eco-friendly options",3,4,4,4,4,3,Single-cart checkout,No preference,20,24.0,100.0,10,5,4,5,5,Overall health,Sizing charts are confusing.,Offer faster standard shipping.,Smartphone,172,1
31,Male,US,Master’s degree,7875.0,3,Full-time employee,2,"Running/Jogging,Basketball",12.3,1,1,2436.0,Frequently,Never,"Sustainability,Price,Brand,Customer reviews,Speed of delivery,Easy returns,Style","Local/Other,Puma,Lululemon,Under Armour",2–3 days,High prices,4,4,Yes,Yes,"Limited eco-friendly options,Split shipments,Slow delivery,High shipping fees,Poor tracking updates",1,3,3,3,3,2,Single-cart checkout,4–7 days,5,41.0,91.0,10,5,4,3,4,Appearance / aesthetics,Shipping costs are high.,Make packaging eco-friendly.,Smartphone,348,1
33,Male,Germany,Bachelor’s degree,8814.0,3,Full-time employee,3,"Basketball,Yoga/Pilates,Cycling",8.5,2,3,5138.0,Frequently,Never,"Price,Brand,Speed of delivery,Sustainability,Easy returns,Customer reviews,Style","Under Armour,Nike",2–3 days,Long delivery times,4,4,Yes,Maybe,"Poor tracking updates,Slow delivery,Limited eco-friendly options,High shipping fees,Split shipments",2,4,3,3,3,5,Single-cart checkout,2–3 days,15,148.0,100.0,10,4,2,4,3,Overall health,Shipping costs are high.,Offer faster standard shipping.,Smartphone,294,1
23,Male,Australia,Master’s degree,4050.0,5,Full-time employee,1,Running/Jogging,4.7,2,3,3311.0,Always,Frequently,"Customer reviews,Speed of delivery,Brand,Price,Style,Sustainability,Easy returns",Puma,4–7 days,Long delivery times,1,2,No,Yes,"Slow delivery,High shipping fees,Limited eco-friendly options,Split shipments,Poor tracking updates",2,4,4,4,4,1,Single-cart checkout,4–7 days,15,40.0,83.0,10,3,4,3,3,Appearance / aesthetics,Sizing charts are confusing.,Make packaging eco-friendly.,Smartphone,326,1
31,Male,France,Bachelor’s degree,1752.0,4,Full-time employee,1,Cycling,6.1,4,3,8940.0,Frequently,Frequently,"Speed of delivery,Brand,Price,Sustainability,Customer reviews,Style,Easy returns","Under Armour,Nike,Decathlon",4–7 days,Difficult returns,3,4,Yes,Yes,"Poor tracking updates,High shipping fees,Split shipments,Limited eco-friendly options,Slow delivery",3,5,2,3,4,5,Product sustainability information,2–3 days,20,20.0,85.9,7,5,4,2,3,Overall health,Sizing charts are confusing.,Make packaging eco-friendly.,Laptop or desktop computer,232,0
30,Female,Canada,Bachelor’s degree,4253.0,2,Full-time employee,3,"Basketball,Yoga/Pilates,Running/Jogging",8.5,2,2,5139.0,Occasionally,Frequently,"Price,Style,Sustainability,Customer reviews,Brand,Easy returns,Speed of delivery",Decathlon,4–7 days,Lack of sustainability info,4,3,No,Yes,"Slow delivery,Split shipments,High shipping fees,Poor tracking updates,Limited eco-friendly options",5,2,5,3,5,4,Single-cart checkout,More than 2 weeks,20,23.0,100.0,10,4,3,4,3,Appearance / aesthetics,Shipping costs are high.,Make packaging eco-friendly.,Laptop or desktop computer,340,1
21,Female,Germany,High-school diploma / equivalent,4359.0,2,Full-time employee,3,"Swimming,Cycling,Basketball",11.1,3,4,1698.0,Frequently,Occasionally,"Brand,Sustainability,Customer reviews,Price,Style,Easy returns,Speed of delivery","Decathlon,Nike,Local/Other,Adidas",2–3 days,Limited sizing,2,3,Yes,Yes,"Poor tracking updates,High shipping fees,Slow delivery,Split shipments,Limited eco-friendly options",4,3,5,4,5,4,Personalised offers & discounts,2–3 days,25,26.0,100.0,9,5,2,4,4,Overall health,Sizing charts are confusing.,Offer faster standard shipping.,Smartphone,204,1
33,Female,UK,Doctorate / professional,3379.0,4,Self-employed / freelancer,4,"Running/Jogging,Cycling,Swimming,Yoga/Pilates",11.9,4,3,4550.0,Always,Frequently,"Sustainability,Brand,Speed of delivery,Customer reviews,Price,Style,Easy returns","Puma,Lululemon,Local/Other,Decathlon",4–7 days,Limited sizing,3,3,No,No,"High shipping fees,Limited eco-friendly options,Slow delivery,Split shipments,Poor tracking updates",5,5,4,3,2,3,Flexible delivery,4–7 days,10,65.0,100.0,10,4,3,4,4,Socialising / community,Sizing charts are confusing.,Offer faster standard shipping.,Smartphone,165,1
34,Male,France,Bachelor’s degree,4159.0,3,Self-employed / freelancer,3,"Basketball,Cycling,Football/Soccer",9.0,4,4,1821.0,Rarely,Occasionally,"Speed of delivery,Customer reviews,Easy returns,Sustainability,Price,Brand,Style","Adidas,Nike,Under Armour,Puma",4–7 days,Limited sizing,3,3,Yes,Yes,"Split shipments,High shipping fees,Slow delivery,Limited eco-friendly options,Poor tracking updates",5,5,3,3,4,3,Product sustainability information,4–7 days,20,2.0,100.0,10,3,5,4,3,Overall health,Shipping costs are high.,Offer faster standard shipping.,Smartphone,393,1
39,Male,France,Bachelor’s degree,9880.0,4,Full-time employee,1,Cycling,8.2,3,3,2392.0,Occasionally,Rarely,"Speed of delivery,Customer reviews,Brand,Sustainability,Price,Easy returns,Style",Lululemon,2–3 days,Limited sizing,5,4,Yes,Yes,"Poor tracking updates,Split shipments,Slow delivery,High shipping fees,Limited eco-friendly options",4,3,4,5,3,4,Personalised offers & discounts,1–2 weeks,5,39.0,83.6,7,4,3,3,3,Overall health,Sizing charts are confusing.,Make packaging eco-friendly.,Other,370,0
38,Female,Germany,High-school diploma / equivalent,6925.0,3,Full-time employee,3,"Cycling,Football/Soccer,Running/Jogging",6.3,3,3,12119.0,Frequently,Frequently,"Price,Brand,Speed of delivery,Sustainability,Easy returns,Customer reviews,Style","Adidas,Under Armour,Nike,Puma",More than 2 weeks,High prices,2,5,Yes,No,"Split shipments,Poor tracking updates,High shipping fees,Slow delivery,Limited eco-friendly options",4,2,4,3,5,4,Single-cart checkout,2–3 days,15,143.0,100.0,10,5,3,4,4,Appearance / aesthetics,Sizing charts are confusing.,Offer faster standard shipping.,Smartphone,338,1
19,Female,France,High-school diploma / equivalent,3022.0,7,Full-time employee,1,Swimming,7.1,3,3,3740.0,Rarely,Always,"Sustainability,Easy returns,Brand,Speed of delivery,Price,Customer reviews,Style","Decathlon,Under Armour",1–2 weeks,Limited sizing,3,3,No,Yes,"High shipping fees,Slow delivery,Poor tracking updates,Split shipments,Limited eco-friendly options",5,5,3,5,1,4,Single-cart checkout,1–2 weeks,15,40.0,80.8,7,5,3,2,2,Appearance / aesthetics,Sizing charts are confusing.,Make packaging eco-friendly.,Smartphone,306,0
22,Male,India,Bachelor’s degree,2386.0,8,Full-time employee,4,"Basketball,Cycling,Running/Jogging,Football/Soccer",10.9,3,2,3275.0,Never,Never,"Brand,Sustainability,Price,Customer reviews,Speed of delivery,Easy returns,Style","Nike,Decathlon,Under Armour",1–2 weeks,Other,5,3,Yes,Yes,"Slow delivery,Limited eco-friendly options,High shipping fees,Poor tracking updates,Split shipments",4,3,3,5,3,4,Product sustainability information,2–3 days,0,1.0,100.0,10,2,5,4,4,Stress relief / mental health,Sizing charts are confusing.,Offer faster standard shipping.,Smartphone,243,1
34,Male,Germany,High-school diploma / equivalent,4485.0,5,Full-time employee,2,"Swimming,Basketball",9.6,1,2,5474.0,Occasionally,Occasionally,"Brand,Price,Sustainability,Speed of delivery,Easy returns,Customer reviews,Style","Local/Other,Nike,Decathlon",4–7 days,Difficult returns,3,3,Yes,Maybe,"Slow delivery,High shipping fees,Split shipments,Limited eco-friendly options,Poor tracking updates",4,5,3,5,4,3,Single-cart checkout,1–2 weeks,5,13.0,100.0,10,5,4,4,3,Overall health,Shipping costs are high.,Make packaging eco-friendly.,Smartphone,454,1
34,Male,US,Bachelor’s degree,4693.0,3,Full-time employee,2,"Football/Soccer,Swimming",10.1,4,4,2098.0,Always,Occasionally,"Brand,Customer reviews,Speed of delivery,Sustainability,Style,Easy returns,Price",Lululemon,2–3 days,Limited sizing,3,4,No,Maybe,"High shipping fees,Split shipments,Poor tracking updates,Slow delivery,Limited eco-friendly options",5,5,3,3,2,5,Single-cart checkout,No preference,25,21.0,49.0,6,4,5,4,5,Appearance / aesthetics,Shipping costs are high.,Make packaging eco-friendly.,Smartphone,427,0
34,Male,Brazil,High-school diploma / equivalent,6234.0,3,Retired,2,"Basketball,Swimming",3.4,4,4,523.0,Never,Rarely,"Sustainability,Easy returns,Brand,Style,Price,Speed of delivery,Customer reviews","Lululemon,Under Armour,Nike,Decathlon",4–7 days,Difficult returns,1,3,Yes,Maybe,"Poor tracking updates,Split shipments,High shipping fees,Limited eco-friendly options,Slow delivery",2,3,4,4,3,5,Single-cart checkout,2–3 days,15,17.0,75.3,9,2,5,2,4,Appearance / aesthetics,Shipping costs are high.,Offer faster standard shipping.,Smartphone,230,1
60,Male,Australia,Bachelor’s degree,5158.0,1,Student,1,Swimming,5.6,2,1,1144.0,Occasionally,Frequently,"Brand,Price,Speed of delivery,Style,Sustainability,Customer reviews,Easy returns","Local/Other,Decathlon,Adidas,Nike",1–2 weeks,Long delivery times,5,3,No,Yes,"Poor tracking updates,High shipping fees,Slow delivery,Split shipments,Limited eco-friendly options",4,5,5,3,4,5,Single-cart checkout,2–3 days,15,90.0,66.2,10,5,5,3,3,Overall health,Sizing charts are confusing.,Offer faster standard shipping.,Laptop or desktop computer,384,0
35,Female,UAE,Master’s degree,6332.0,6,Full-time employee,0,,4.1,3,3,2492.0,Frequently,Occasionally,"Price,Sustainability,Customer reviews,Brand,Speed of delivery,Easy returns,Style","Local/Other,Decathlon",1 day,Other,4,4,No,No,"Poor tracking updates,Slow delivery,Split shipments,Limited eco-friendly options,High shipping fees",2,4,3,4,4,4,Personalised offers & discounts,4–7 days,20,25.0,30.0,4,3,4,3,4,Competition / performance,Sizing charts are confusing.,Make packaging eco-friendly.,Smartphone,403,0
39,Female,France,Master’s degree,11617.0,3,Full-time employee,3,"Football/Soccer,Running/Jogging,Yoga/Pilates",5.3,5,4,7761.0,Always,Frequently,"Brand,Style,Price,Easy returns,Sustainability,Customer reviews,Speed of delivery",Under Armour,4–7 days,Lack of sustainability info,4,3,Yes,Yes,"Slow delivery,High shipping fees,Limited eco-friendly options,Poor tracking updates,Split shipments",5,5,2,4,4,2,Flexible delivery,2–3 days,10,30.0,97.1,10,5,4,3,4,Competition / performance,Sizing charts are confusing.,Make packaging eco-friendly.,Smartphone,185,1
38,Female,US,Master’s degree,7355.0,5,Full-time employee,3,"Running/Jogging,Basketball,Swimming",10.5,2,1,15043.0,Always,Frequently,"Customer reviews,Brand,Sustainability,Easy returns,Price,Speed of delivery,Style","Nike,Decathlon",2–3 days,Limited sizing,2,2,Yes,Yes,"Split shipments,Limited eco-friendly options,High shipping fees,Slow delivery,Poor tracking updates",5,4,1,4,5,2,Something else,2–3 days,10,26.0,77.6,8,3,5,5,3,Competition / performance,Sizing charts are confusing.,Offer faster standard shipping.,Other,332,1
35,Female,Canada,High-school diploma / equivalent,5062.0,5,Student,1,Cycling,4.9,4,5,3444.0,Occasionally,Occasionally,"Style,Speed of delivery,Brand,Price,Sustainability,Customer reviews,Easy returns","Local/Other,Under Armour,Lululemon",2–3 days,Difficult returns,2,2,No,Yes,"Limited eco-friendly options,High shipping fees,Split shipments,Slow delivery,Poor tracking updates",4,2,4,5,4,4,Product sustainability information,2–3 days,15,34.0,52.8,7,4,3,5,5,Appearance / aesthetics,Sizing charts are confusing.,Make packaging eco-friendly.,Smartphone,450,0
27,Female,Canada,High-school diploma / equivalent,4431.0,5,Full-time employee,3,"Cycling,Running/Jogging,Gym/Fitness",7.6,1,1,11606.0,Always,Rarely,"Price,Easy returns,Speed of delivery,Sustainability,Brand,Customer reviews,Style",Nike,2–3 days,Other,3,3,Yes,Maybe,"Split shipments,Slow delivery,High shipping fees,Poor tracking updates,Limited eco-friendly options",4,4,3,4,5,4,Single-cart checkout,4–7 days,5,46.0,100.0,10,3,1,4,4,Competition / performance,Sizing charts are confusing.,Make packaging eco-friendly.,Smartphone,471,1
36,Female,Australia,Bachelor’s degree,4517.0,6,Full-time employee,2,"Basketball,Football/Soccer",6.7,3,4,5621.0,Never,Rarely,"Speed of delivery,Price,Customer reviews,Sustainability,Brand,Easy returns,Style","Under Armour,Nike,Lululemon",More than 2 weeks,Difficult returns,3,1,Yes,Maybe,"Split shipments,Poor tracking updates,High shipping fees,Slow delivery,Limited eco-friendly options",5,3,3,4,2,4,Single-cart checkout,2–3 days,30+,22.0,100.0,10,3,3,3,3,Overall health,Sizing charts are confusing.,Make packaging eco-friendly.,Smartphone,397,1
24,Female,France,Bachelor’s degree,7408.0,4,Self-employed / freelancer,1,Cycling,4.4,4,3,5227.0,Frequently,Never,"Speed of delivery,Sustainability,Style,Easy returns,Brand,Customer reviews,Price",Decathlon,4–7 days,Lack of sustainability info,4,4,No,Maybe,"Poor tracking updates,Slow delivery,Split shipments,High shipping fees,Limited eco-friendly options",4,5,3,3,3,4,Single-cart checkout,4–7 days,30+,61.0,47.8,3,2,4,5,5,Overall health,Sizing charts are confusing.,Offer faster standard shipping.,Laptop or desktop computer,154,0
28,Male,India,Bachelor’s degree,3748.0,4,Full-time employee,1,Swimming,4.9,3,3,5864.0,Frequently,Rarely,"Price,Sustainability,Easy returns,Speed of delivery,Customer reviews,Brand,Style",Puma,2–3 days,Long delivery times,4,2,Yes,Maybe,"Poor tracking updates,High shipping fees,Split shipments,Limited eco-friendly options,Slow delivery",5,4,4,4,4,5,Single-cart checkout,4–7 days,15,53.0,50.7,7,4,2,4,2,Socialising / community,Shipping costs are high.,Offer faster standard shipping.,Smartphone,225,0
26,Male,Australia,Less than high-school,4804.0,6,Full-time employee,3,"Cycling,Running/Jogging,Yoga/Pilates",10.4,3,2,6356.0,Occasionally,Occasionally,"Brand,Sustainability,Price,Easy returns,Speed of delivery,Style,Customer reviews","Under Armour,Nike,Local/Other,Puma",4–7 days,Limited sizing,4,3,No,Yes,"Split shipments,Poor tracking updates,High shipping fees,Slow delivery,Limited eco-friendly options",4,2,4,4,3,1,Personalised offers & discounts,1–2 weeks,10,111.0,94.3,7,3,5,1,5,Overall health,Sizing charts are confusing.,Offer faster standard shipping.,Smartphone,327,0
31,Male,France,High-school diploma / equivalent,5067.0,5,Full-time employee,2,"Swimming,Basketball",10.0,5,4,7674.0,Frequently,Frequently,"Price,Style,Customer reviews,Sustainability,Brand,Speed of delivery,Easy returns","Decathlon,Lululemon",2–3 days,Difficult returns,3,3,Yes,Yes,"Limited eco-friendly options,Split shipments,Poor tracking updates,High shipping fees,Slow delivery",5,3,5,4,3,5,Flexible delivery,No preference,15,71.0,87.1,9,2,5,4,4,Overall health,Shipping costs are high.,Offer faster standard shipping.,Smartphone,278,1
49,Female,US,Less than high-school,4785.0,4,Full-time employee,2,"Basketball,Yoga/Pilates",7.8,4,3,2218.0,Rarely,Occasionally,"Price,Speed of delivery,Sustainability,Brand,Easy returns,Customer reviews,Style","Local/Other,Adidas,Nike",4–7 days,Limited sizing,4,4,No,Maybe,"High shipping fees,Split shipments,Limited eco-friendly options,Slow delivery,Poor tracking updates",4,5,4,4,5,3,Product sustainability information,4–7 days,5,59.0,59.2,6,3,2,4,4,Appearance / aesthetics,Shipping costs are high.,Make packaging eco-friendly.,Laptop or desktop computer,310,0
16,Female,Brazil,Master’s degree,2441.0,5,Full-time employee,2,"Football/Soccer,Cycling",10.2,4,4,662.0,Always,Frequently,"Easy returns,Price,Style,Sustainability,Customer reviews,Brand,Speed of delivery","Nike,Under Armour,Puma",1–2 weeks,Other,4,5,Yes,Yes,"High shipping fees,Split shipments,Slow delivery,Poor tracking updates,Limited eco-friendly options",4,3,3,3,4,1,Flexible delivery,4–7 days,15,14.0,76.0,7,4,2,2,4,Appearance / aesthetics,Sizing charts are confusing.,Offer faster standard shipping.,Smartphone,434,0
35,Male,India,High-school diploma / equivalent,5872.0,4,Full-time employee,1,Yoga/Pilates,3.9,3,2,4277.0,Occasionally,Occasionally,"Customer reviews,Speed of delivery,Brand,Sustainability,Price,Easy returns,Style","Adidas,Puma,Local/Other,Lululemon",4–7 days,High prices,3,4,Yes,Yes,"Slow delivery,High shipping fees,Split shipments,Poor tracking updates,Limited eco-friendly options",1,5,5,3,3,5,Personalised offers & discounts,2–3 days,5,53.0,59.2,6,5,3,1,3,Overall health,Shipping costs are high.,Offer faster standard shipping.,Smartphone,257,0
17,Female,UAE,Bachelor’s degree,4173.0,4,Full-time employee,2,"Yoga/Pilates,Football/Soccer",8.3,3,2,4701.0,Frequently,Frequently,"Customer reviews,Sustainability,Price,Speed of delivery,Brand,Easy returns,Style","Local/Other,Decathlon,Under Armour",4–7 days,Difficult returns,4,4,No,No,"Poor tracking updates,Slow delivery,High shipping fees,Split shipments,Limited eco-friendly options",3,3,3,4,5,5,Personalised offers & discounts,1–2 weeks,20,39.0,96.4,7,5,3,4,5,Stress relief / mental health,Shipping costs are high.,Offer faster standard shipping.,Smartphone,479,0
26,Male,Canada,Less than high-school,5763.0,5,Full-time employee,1,Football/Soccer,10.2,4,4,1470.0,Rarely,Always,"Easy returns,Sustainability,Speed of delivery,Customer reviews,Price,Brand,Style",Under Armour,4–7 days,Long delivery times,2,4,Yes,Maybe,"Slow delivery,Split shipments,High shipping fees,Poor tracking updates,Limited eco-friendly options",5,4,4,4,2,5,Flexible delivery,No preference,10,26.0,83.5,7,4,4,1,3,Appearance / aesthetics,Sizing charts are confusing.,Offer faster standard shipping.,Smartphone,155,0
39,Female,UK,Bachelor’s degree,4327.0,4,Student,1,Gym/Fitness,2.8,5,5,1121.0,Occasionally,Rarely,"Price,Sustainability,Easy returns,Speed of delivery,Brand,Customer reviews,Style","Under Armour,Adidas,Puma,Decathlon",4–7 days,Other,4,1,Yes,Yes,"Split shipments,High shipping fees,Poor tracking updates,Slow delivery,Limited eco-friendly options",4,5,2,1,4,5,Product sustainability information,1–2 weeks,15,22.0,71.9,9,4,4,1,4,Appearance / aesthetics,Shipping costs are high.,Offer faster standard shipping.,Smartphone,332,1
31,Male,US,Bachelor’s degree,8089.0,2,Full-time employee,2,"Cycling,Gym/Fitness",4.7,4,3,3962.0,Always,Frequently,"Brand,Price,Speed of delivery,Style,Customer reviews,Easy returns,Sustainability",Adidas,4–7 days,Lack of sustainability info,5,2,No,Maybe,"Split shipments,High shipping fees,Poor tracking updates,Slow delivery,Limited eco-friendly options",4,1,1,1,2,5,Personalised offers & discounts,2–3 days,0,33.0,82.4,5,5,5,3,3,Appearance / aesthetics,Shipping costs are high.,Make packaging eco-friendly.,Smartphone,447,0
21,Male,Canada,Master’s degree,3149.0,4,Full-time employee,3,"Running/Jogging,Football/Soccer,Basketball",12.6,4,5,7466.0,Frequently,Frequently,"Sustainability,Brand,Customer reviews,Price,Easy returns,Style,Speed of delivery","Lululemon,Adidas,Under Armour",1–2 weeks,Difficult returns,3,1,No,Maybe,"High shipping fees,Poor tracking updates,Split shipments,Slow delivery,Limited eco-friendly options",4,3,4,4,3,4,Single-cart checkout,More than 2 weeks,15,90.0,90.8,9,5,2,5,3,Competition / performance,Sizing charts are confusing.,Offer faster standard shipping.,Laptop or desktop computer,166,1
24,Female,Germany,Master’s degree,9163.0,3,Part-time employee,1,Cycling,6.4,1,2,3903.0,Always,Frequently,"Brand,Speed of delivery,Customer reviews,Price,Sustainability,Easy returns,Style","Under Armour,Adidas,Decathlon",4–7 days,High prices,3,1,Yes,Yes,"Slow delivery,Split shipments,High shipping fees,Poor tracking updates,Limited eco-friendly options",3,5,2,5,2,4,Single-cart checkout,1–2 weeks,0,65.0,76.0,7,3,4,5,4,Competition / performance,Shipping costs are high.,Offer faster standard shipping.,Smartphone,355,0
35,Male,UK,Bachelor’s degree,2565.0,3,Student,1,Football/Soccer,4.8,4,5,1328.0,Occasionally,Frequently,"Brand,Customer reviews,Sustainability,Price,Easy returns,Speed of delivery,Style","Puma,Under Armour",More than 2 weeks,Lack of sustainability info,2,3,Yes,Yes,"Slow delivery,Limited eco-friendly options,Split shipments,High shipping fees,Poor tracking updates",4,4,3,1,5,3,Flexible delivery,2–3 days,30+,129.0,55.5,3,4,4,4,5,Appearance / aesthetics,Shipping costs are high.,Offer faster standard shipping.,Smartphone,166,0
24,Male,Canada,Master’s degree,5497.0,5,Student,2,"Swimming,Football/Soccer",5.7,4,5,2072.0,Rarely,Occasionally,"Sustainability,Easy returns,Brand,Customer reviews,Speed of delivery,Style,Price","Nike,Decathlon",1–2 weeks,Long delivery times,4,4,No,Yes,"High shipping fees,Slow delivery,Split shipments,Poor tracking updates,Limited eco-friendly options",3,4,3,4,1,3,Single-cart checkout,1–2 weeks,15,33.0,100.0,10,5,4,4,4,Overall health,Shipping costs are high.,Offer faster standard shipping.,Smartphone,216,1
32,Male,Australia,Other,6063.0,5,Full-time employee,3,"Basketball,Cycling,Football/Soccer",9.9,4,5,7222.0,Frequently,Rarely,"Style,Price,Speed of delivery,Sustainability,Customer reviews,Easy returns,Brand","Adidas,Nike",1–2 weeks,Limited sizing,4,2,Yes,Yes,"High shipping fees,Split shipments,Poor tracking updates,Slow delivery,Limited eco-friendly options",5,5,5,5,4,4,Personalised offers & discounts,4–7 days,5,41.0,75.0,6,5,3,4,2,Appearance / aesthetics,Shipping costs are high.,Offer faster standard shipping.,Smartphone,351,0
30,Female,India,Master’s degree,3575.0,2,Full-time employee,3,"Cycling,Running/Jogging,Swimming",10.3,2,3,4756.0,Occasionally,Never,"Speed of delivery,Price,Style,Sustainability,Brand,Customer reviews,Easy returns","Lululemon,Puma",1–2 weeks,Limited sizing,1,5,No,Yes,"High shipping fees,Poor tracking updates,Slow delivery,Split shipments,Limited eco-friendly options",4,4,3,1,3,4,Personalised offers & discounts,4–7 days,15,23.0,91.9,10,4,4,4,4,Competition / performance,Sizing charts are confusing.,Offer faster standard shipping.,Laptop or desktop computer,141,1
25,Female,Canada,Master’s degree,5533.0,8,Self-employed / freelancer,3,"Football/Soccer,Swimming,Yoga/Pilates",10.3,5,5,9494.0,Rarely,Occasionally,"Price,Sustainability,Easy returns,Speed of delivery,Customer reviews,Brand,Style","Local/Other,Adidas",2–3 days,Difficult returns,4,5,Yes,No,"Slow delivery,High shipping fees,Poor tracking updates,Split shipments,Limited eco-friendly options",5,5,4,3,3,3,Product sustainability information,4–7 days,0,61.0,100.0,9,4,1,2,4,Competition / performance,Shipping costs are high.,Offer faster standard shipping.,Smartphone,422,1
47,Male,UAE,High-school diploma / equivalent,9593.0,4,Self-employed / freelancer,2,"Yoga/Pilates,Basketball",5.7,1,1,2884.0,Frequently,Always,"Sustainability,Brand,Price,Style,Speed of delivery,Easy returns,Customer reviews","Decathlon,Puma",2–3 days,Lack of sustainability info,4,5,No,Yes,"Limited eco-friendly options,High shipping fees,Poor tracking updates,Slow delivery,Split shipments",4,4,5,5,4,4,Single-cart checkout,2–3 days,20,25.0,82.0,7,4,2,4,4,Overall health,Shipping costs are high.,Offer faster standard shipping.,Smartphone,243,0
35,Female,Brazil,Bachelor’s degree,2126.0,3,Full-time employee,3,"Gym/Fitness,Basketball,Yoga/Pilates",9.3,2,3,7585.0,Occasionally,Frequently,"Price,Style,Sustainability,Customer reviews,Speed of delivery,Brand,Easy returns","Nike,Decathlon,Local/Other,Adidas",4–7 days,High prices,5,1,Yes,No,"Slow delivery,High shipping fees,Split shipments,Poor tracking updates,Limited eco-friendly options",3,4,3,2,4,5,Single-cart checkout,1–2 weeks,5,14.0,100.0,10,5,3,2,3,Socialising / community,Shipping costs are high.,Make packaging eco-friendly.,Smartphone,354,1
16,Female,Australia,High-school diploma / equivalent,5168.0,7,"Unemployed, looking for work",1,Football/Soccer,4.9,4,4,2638.0,Rarely,Occasionally,"Easy returns,Brand,Sustainability,Style,Customer reviews,Price,Speed of delivery","Under Armour,Adidas,Decathlon,Nike",4–7 days,High prices,3,5,Yes,Yes,"Split shipments,Slow delivery,High shipping fees,Poor tracking updates,Limited eco-friendly options",5,3,5,4,4,4,Product sustainability information,1–2 weeks,15,8.0,100.0,9,3,4,4,4,Socialising / community,Shipping costs are high.,Offer faster standard shipping.,Smartphone,301,1
31,Male,US,High-school diploma / equivalent,1831.0,1,Full-time employee,1,Swimming,7.3,4,4,1635.0,Occasionally,Frequently,"Price,Speed of delivery,Sustainability,Brand,Style,Easy returns,Customer reviews","Local/Other,Lululemon,Nike,Under Armour",1–2 weeks,Long delivery times,3,5,Yes,Yes,"Split shipments,Poor tracking updates,Slow delivery,High shipping fees,Limited eco-friendly options",2,5,5,4,5,5,Personalised offers & discounts,2–3 days,15,113.0,91.7,9,4,2,5,3,Overall health,Shipping costs are high.,Offer faster standard shipping.,Smartphone,337,1
25,Male,US,Other,3173.0,7,Other,1,Running/Jogging,3.8,2,3,5194.0,Frequently,Frequently,"Easy returns,Brand,Speed of delivery,Style,Price,Sustainability,Customer reviews","Lululemon,Under Armour",1 day,Other,5,5,Yes,No,"Slow delivery,High shipping fees,Split shipments,Limited eco-friendly options,Poor tracking updates",4,5,5,3,3,5,Single-cart checkout,2–3 days,25,55.0,51.0,4,4,5,2,2,Competition / performance,Shipping costs are high.,Offer faster standard shipping.,Smartphone,385,0
37,Male,US,Bachelor’s degree,10090.0,4,Student,2,"Football/Soccer,Gym/Fitness",8.2,4,5,1805.0,Frequently,Occasionally,"Brand,Easy returns,Speed of delivery,Sustainability,Price,Style,Customer reviews","Decathlon,Under Armour,Puma,Nike",2–3 days,Lack of sustainability info,3,4,Yes,Yes,"Slow delivery,Split shipments,High shipping fees,Poor tracking updates,Limited eco-friendly options",3,3,4,1,1,4,Something else,4–7 days,15,9.0,66.9,5,5,5,4,5,Competition / performance,Shipping costs are high.,Make packaging eco-friendly.,Smartphone,283,0
